証券コード,企業名,17業種区分,EDINETコード
1301,極洋,食品,E00012
1332,ニッスイ,食品,E00014
1333,マルハニチロ,食品,E00015
1375,ユキグニファクトリー,食品,E00007
1379,ホクト,食品,E00008
1384,ホクリヨウ,食品,E31220
1417,ミライト・ワン,建設・資材,E24558
1418,インターライフホールディングス,建設・資材,E24512
1429,日本アクア,建設・資材,E30126
1433,ベステラ,建設・資材,E31731
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産,E31925
1436,グリーンエナジー＆カンパニー,建設・資材,E32163
1443,技研ホールディングス,建設・資材,E33535
1447,ＳＡＡＦホールディングス,建設・資材,E34165
1491,中外鉱業,鉄鋼・非鉄,E00027
1514,住石ホールディングス,エネルギー資源,E21342
1515,日鉄鉱業,エネルギー資源,E00036
1518,三井松島ホールディングス,情報通信・サービスその他,E00037
1605,ＩＮＰＥＸ,エネルギー資源,E00043
1662,石油資源開発,エネルギー資源,E00041
1663,Ｋ＆Ｏエナジーグループ,エネルギー資源,E30048
1711,ＳＤＳホールディングス,建設・資材,E05452
1712,ダイセキ環境ソリューション,建設・資材,E05444
1717,明豊ファシリティワークス,情報通信・サービスその他,E05377
1718,美樹工業,建設・資材,E00315
1719,安藤・間,建設・資材,E00317
1721,コムシスホールディングス,建設・資材,E00322
1723,日本電技,建設・資材,E00313
1724,シンクレイヤ,建設・資材,E05326
1726,ビーアールホールディングス,建設・資材,E00312
1736,オーテック,建設・資材,E00304
1758,太洋基礎工業,建設・資材,E00287
1762,高松コンストラクショングループ,建設・資材,E00285
1766,東建コーポレーション,建設・資材,E00281
1768,ソネック,建設・資材,E00279
1776,三井住建道路,建設・資材,E00272
1786,オリエンタル白石,建設・資材,E36102
1787,ナカボーテック,建設・資材,E00260
1793,大本組,建設・資材,E00255
1798,守谷商会,建設・資材,E00251
1799,第一建設工業,建設・資材,E00250
1801,大成建設,建設・資材,E00052
1802,大林組,建設・資材,E00055
1803,清水建設,建設・資材,E00053
1807,佐藤渡辺,建設・資材,E00167
1808,長谷工コーポレーション,建設・資材,E00090
1811,錢高組,建設・資材,E00069
1812,鹿島建設,建設・資材,E00058
1813,不動テトラ,建設・資材,E00097
1814,大末建設,建設・資材,E00093
1815,鉄建建設,建設・資材,E00065
1822,大豊建設,建設・資材,E00095
1826,佐田建設,建設・資材,E00121
1827,ナカノフドー建設,建設・資材,E00105
1828,田辺工業,建設・資材,E00242
1833,奥村組,建設・資材,E00083
1835,東鉄工業,建設・資材,E00112
1841,サンユー建設,建設・資材,E00101
1847,イチケン,建設・資材,E00117
1848,富士ピー・エス,建設・資材,E00238
1852,淺沼組,建設・資材,E00120
1853,森組,建設・資材,E00130
1861,熊谷組,建設・資材,E00056
1866,北野建設,建設・資材,E00175
1867,植木組,建設・資材,E00179
1871,ピーエス・コンストラクション,建設・資材,E01161
1873,日本ハウスホールディングス,建設・資材,E00197
1878,大東建託,不動産,E00218
1879,新日本建設,建設・資材,E00221
