docID,売上高,営業利益,当期純利益,総資産,自己資本,流動資産,流動負債,固定資産,負債総額,営業CF,投資CF,財務CF,EPS,発行株式数,営業CFマージン
S100TP24,1477358000000.0,,56081000000.0,4456774000000.0,,,,,3225100000000.0,40041000000.0,,,,,
S100UG61,50164000000.0,9861000000.0,15799000000.0,93901000000.0,,56544000000.0,9973000000.0,37707000000.0,13387000000.0,8432000000.0,,,,,
S100SN96,,1473266420.0,1473266420.0,17349897904.0,,17349897904.0,251748378.0,,251748378.0,,,,,,
S100SS46,,357965702.0,357965702.0,21078574203.0,,21078574203.0,74163279.0,,74163279.0,,,,,,
S100U2MK,,95841510.0,95841510.0,2857989847.0,,2857989847.0,16457181.0,,16457181.0,,,,,,
S100SS41,,883060215.0,883060215.0,23722973960.0,,23722973960.0,529639128.0,,529639128.0,,,,,,
S100SN9J,,,,2973558362.0,,2973558362.0,19387492.0,,19387492.0,,,,,,
S100TL1M,,239237537.0,239237537.0,1550130441.0,,1550130441.0,28865646.0,,28865646.0,,,,,,
S100SN9E,,453572811.0,453572811.0,8518267364.0,,8518267364.0,53188989.0,,53188989.0,,,,,,
S100U6N4,,658244909.0,658244909.0,3960692156.0,,3960692156.0,35898759.0,,35898759.0,,,,,,
S100SS4C,,,,29159596519.0,,29159596519.0,15393215.0,,15393215.0,,,,,,
S100SSFG,,2243884960.0,2243884960.0,35591211998.0,,35591211998.0,285401938.0,,285401938.0,,,,,,
S100SS3N,,1644346900.0,1644346900.0,22736251058.0,,22736251058.0,161788969.0,,161788969.0,,,,,,
S100U2LJ,,855749375.0,855749375.0,7583070737.0,,7583070737.0,51512794.0,,51512794.0,,,,,,
S100SS3J,,1753167495.0,1753167495.0,23679874242.0,,23679874242.0,175988809.0,,175988809.0,,,,,,
S100SS3B,,1574070856.0,1574070856.0,21892205076.0,,21892205076.0,147740147.0,,147740147.0,,,,,,
S100SS4G,,6005751.0,6005751.0,11828558400.0,,11828558400.0,754010156.0,,754010156.0,,,,,,
S100SS31,,1626632208.0,1626632208.0,22883079252.0,,22883079252.0,184220235.0,,184220235.0,,,,,,
S100SS2Y,,1970246098.0,1970246098.0,28424805010.0,,28424805010.0,191389989.0,,191389989.0,,,,,,
S100SS2K,,790657928.0,790657928.0,11558260965.0,,11558260965.0,77957474.0,,77957474.0,,,,,,
S100T00K,,348641416.0,348641416.0,6195852841.0,,6195852841.0,52643064.0,,52643064.0,,,,,,
S100U2SY,,1376732991.0,1376732991.0,7283760412.0,,7283760412.0,77958392.0,,77958392.0,,,,,,
S100SNZG,,14171344.0,14171344.0,902371846.0,,902371846.0,3990128.0,,3990128.0,,,,,,
S100TZKI,,25755826.0,25755826.0,2294933254.0,,2294933254.0,69576124.0,,69576124.0,,,,,,
S100U2L8,,3473631104.0,3473631104.0,20643513864.0,,20643513864.0,144691067.0,,144691067.0,,,,,,
S100U3ID,,46568971.0,46568971.0,685484938.0,,685484938.0,3124748.0,,3124748.0,,,,,,
S100SS4D,,,,58128932293.0,,58128932293.0,201121994.0,,201121994.0,,,,,,
S100SFK3,,239237537.0,239237537.0,1457388196.0,,1457388196.0,25894684.0,,25894684.0,,,,,,
S100TOTO,62907000000.0,7717000000.0,7545000000.0,90745000000.0,,56143000000.0,23968000000.0,40677000000.0,32604000000.0,3351000000.0,,,,,
S100SCAD,,2914094993.0,2914094993.0,20008724602.0,,20008724602.0,89731641.0,,89731641.0,,,,,,
