証券コード,企業名,17業種区分,年度,提出日,docID,EDINETコード,決算期間,売上高,営業利益,当期純利益,総資産,自己資本,流動資産,流動負債,固定資産,負債総額,営業CF,投資CF,財務CF,営業利益率,ROE,ROA,自己資本比率,流動比率,フリーCF,営業CFマージン,売上高成長率,営業利益成長率,当期純利益成長率,売上高(億円),営業利益(億円),当期純利益(億円),総資産(億円),自己資本(億円),流動資産(億円),流動負債(億円),固定資産(億円),負債総額(億円),営業CF(億円),投資CF(億円),財務CF(億円),フリーCF(億円)
1301,極洋,食品,2022,2022-06-24,S100OED4,E00012,有価証券報告書－第99期(令和3年4月1日－令和4年3月31日),253575000000.0,6392000000.0,4634000000.0,130460000000.0,42174000000.0,99527000000.0,56936000000.0,30932000000.0,88285000000.0,-1128000000.0,-5225000000.0,5743000000.0,2.52,10.99,3.55,32.33,174.81,-6353000000.0,-0.44,0.0,0.0,0.0,2535.75,63.92,46.34,1304.6,421.74,995.27,569.36,309.32,882.85,-11.28,-52.25,57.43,-63.53
1301,極洋,食品,2023,2023-06-27,S100R30D,E00012,有価証券報告書－第100期(2022/04/01－2023/03/31),272167000000.0,8105000000.0,5782000000.0,146301000000.0,46966000000.0,114202000000.0,64950000000.0,32098000000.0,99334000000.0,-6243000000.0,-2338000000.0,9011000000.0,2.98,12.31,3.95,32.1,175.83,-8581000000.0,-2.29,7.33,26.8,24.77,2721.67,81.05,57.82,1463.01,469.66,1142.02,649.5,320.98,993.34,-62.43,-23.38,90.11,-85.81
1301,極洋,食品,2024,2024-06-25,S100TQGG,E00012,有価証券報告書－第101期(2023/04/01－2024/03/31),261604000000.0,8806000000.0,5936000000.0,160720000000.0,58860000000.0,124297000000.0,70659000000.0,36422000000.0,101859000000.0,-1721000000.0,-5707000000.0,8524000000.0,3.37,10.08,3.69,36.62,175.91,-7428000000.0,-0.66,-3.88,8.65,2.66,2616.04,88.06,59.36,1607.2,588.6,1242.97,706.59,364.22,1018.59,-17.21,-57.07,85.24,-74.28
1332,ニッスイ,食品,2022,2022-06-28,S100OH0Q,E00014,有価証券報告書－第107期(令和3年4月1日－令和4年3月31日),693682000000.0,27076000000.0,17275000000.0,505731000000.0,208598000000.0,265090000000.0,177828000000.0,240640000000.0,297133000000.0,29118000000.0,-17260000000.0,-11265000000.0,3.9,8.28,3.42,41.25,149.07,11858000000.0,4.2,0.0,0.0,0.0,6936.82,270.76,172.75,5057.31,2085.98,2650.9,1778.28,2406.4,2971.33,291.18,-172.6,-112.65,118.58
1332,ニッスイ,食品,2023,2023-06-28,S100R66L,E00014,有価証券報告書－第108期(2022/04/01－2023/03/31),768181000000.0,24488000000.0,21233000000.0,549013000000.0,220635000000.0,304349000000.0,198771000000.0,244664000000.0,328377000000.0,3396000000.0,-22571000000.0,17413000000.0,3.19,9.62,3.87,40.19,153.12,-19175000000.0,0.44,10.74,-9.56,22.91,7681.81,244.88,212.33,5490.13,2206.35,3043.49,1987.71,2446.64,3283.77,33.96,-225.71,174.13,-191.75
1332,ニッスイ,食品,2024,2024-06-26,S100TQLS,E00014,有価証券報告書－第109期(2023/04/01－2024/03/31),831375000000.0,29663000000.0,23850000000.0,606384000000.0,257304000000.0,325167000000.0,212816000000.0,281217000000.0,349080000000.0,54486000000.0,-37722000000.0,-12393000000.0,3.57,9.27,3.93,42.43,152.79,16764000000.0,6.55,8.23,21.13,12.33,8313.75,296.63,238.5,6063.84,2573.04,3251.67,2128.16,2812.17,3490.8,544.86,-377.22,-123.93,167.64
1333,マルハニチロ,食品,2022,2022-06-28,S100OD1O,E00015,有価証券報告書－第78期(令和3年4月1日－令和4年3月31日),866702000000.0,23819000000.0,16898000000.0,548603000000.0,187895000000.0,324304000000.0,221544000000.0,224298000000.0,360707000000.0,19249000000.0,-10258000000.0,-17200000000.0,2.75,8.99,3.08,34.25,146.38,8991000000.0,2.22,0.0,0.0,0.0,8667.02,238.19,168.98,5486.03,1878.95,3243.04,2215.44,2242.98,3607.07,192.49,-102.58,-172.0,89.91
1333,マルハニチロ,食品,2023,2023-06-27,S100R5V0,E00015,有価証券報告書－第79期(2022/04/01－2023/03/31),1020456000000.0,29575000000.0,18596000000.0,637227000000.0,212522000000.0,392639000000.0,265448000000.0,244587000000.0,424704000000.0,-24000000.0,-23860000000.0,30288000000.0,2.9,8.75,2.92,33.35,147.92,-23884000000.0,-0.0,17.74,24.17,10.05,10204.56,295.75,185.96,6372.27,2125.22,3926.39,2654.48,2445.87,4247.04,-0.24,-238.6,302.88,-238.84
1333,マルハニチロ,食品,2024,2024-06-25,S100TOYU,E00015,有価証券報告書－第80期(2023/04/01－2024/03/31),1030674000000.0,26534000000.0,20853000000.0,671801000000.0,245480000000.0,404985000000.0,272969000000.0,266816000000.0,426321000000.0,53604000000.0,-18927000000.0,-32943000000.0,2.57,8.49,3.1,36.54,148.36,34677000000.0,5.2,1.0,-10.28,12.14,10306.74,265.34,208.53,6718.01,2454.8,4049.85,2729.69,2668.16,4263.21,536.04,-189.27,-329.43,346.77
1375,ユキグニファクトリー,食品,2022,2022-06-27,S100OH43,E00007,有価証券報告書－第5期(令和3年4月1日－令和4年3月31日),32013000000.0,6277000000.0,4744000000.0,51822000000.0,25953000000.0,7799000000.0,6411000000.0,44022000000.0,25868000000.0,0.0,0.0,0.0,19.61,18.28,9.15,50.08,121.65,0.0,0.0,0.0,0.0,0.0,320.13,62.77,47.44,518.22,259.53,77.99,64.11,440.22,258.68,0.0,0.0,0.0,0.0
