date,docID,edinetCode,filerName,docTypeCode,submitDateTime,docDescription
2024-06-21,S100TP24,E03833,あいおいニッセイ同和損害保険株式会社,120.0,2024-06-21 15:17,有価証券報告書－第14期(2023/04/01－2024/03/31)
2024-09-27,S100UG61,E03006,あいホールディングス株式会社,120.0,2024-09-27 15:51,有価証券報告書－第18期(2023/07/01－2024/06/30)
2024-01-19,S100SN96,E30689,あおぞら投信株式会社,120.0,2024-01-19 09:07,有価証券報告書（内国投資信託受益証券）－第3期(2022/10/21－2023/10/20)
2024-02-09,S100SS46,E30689,あおぞら投信株式会社,120.0,2024-02-09 10:24,有価証券報告書（内国投資信託受益証券）－第1期(2023/01/31－2023/11/10)
2024-07-19,S100U2MK,E30689,あおぞら投信株式会社,120.0,2024-07-19 10:12,有価証券報告書（内国投資信託受益証券）－第1期(2023/04/25－2024/04/22)
2024-02-09,S100SS41,E30689,あおぞら投信株式会社,120.0,2024-02-09 10:24,有価証券報告書（内国投資信託受益証券）－第2期(2022/11/11－2023/11/10)
2024-01-19,S100SN9J,E30689,あおぞら投信株式会社,120.0,2024-01-19 09:09,有価証券報告書（内国投資信託受益証券）－第1期(2022/10/28－2023/10/20)
2024-06-11,S100TL1M,E30689,あおぞら投信株式会社,120.0,2024-06-11 09:01,有価証券報告書（内国投資信託受益証券）－第18期(2023/09/12－2024/03/11)
2024-01-19,S100SN9E,E30689,あおぞら投信株式会社,120.0,2024-01-19 09:08,有価証券報告書（内国投資信託受益証券）－第2期(2022/10/21－2023/10/20)
2024-08-09,S100U6N4,E30689,あおぞら投信株式会社,120.0,2024-08-09 09:27,有価証券報告書（内国投資信託受益証券）－第4期(2023/05/23－2024/05/20)
2024-02-09,S100SS4C,E30689,あおぞら投信株式会社,120.0,2024-02-09 10:25,有価証券報告書（内国投資信託受益証券）－第1期(2023/04/25－2023/11/10)
2024-02-09,S100SSFG,E30689,あおぞら投信株式会社,120.0,2024-02-09 10:23,有価証券報告書（内国投資信託受益証券）－第2期(2022/11/11－2023/11/10)
2024-02-09,S100SS3N,E30689,あおぞら投信株式会社,120.0,2024-02-09 10:22,有価証券報告書（内国投資信託受益証券）－第2期(2022/11/11－2023/11/10)
2024-07-19,S100U2LJ,E30689,あおぞら投信株式会社,120.0,2024-07-19 10:09,有価証券報告書（内国投資信託受益証券）－第2期(2023/04/21－2024/04/22)
